,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,DeltaOwn,Value,NumTrades,TradeToFileTime,ValueOwned,VolumeVolatility,PriceVolatility,%FuturePriceChange
12,2021-06-01,2021-05-27,SIBN,"Si-Bone, Inc.",Freund John Gordon,Dir,S - Sale,30.38,-71587.0,484208.0,-13.0,-2174968.0,0,0,0.0,0.0,0.0,0.0
13,2021-06-01,2021-05-27,TNET,"Trinet Group, Inc.",Chamberlain Paul Edward,Dir,S - Sale,77.73,-175.0,36185.0,0.0,-13603.0,0,0,0.0,0.0,0.0,0.0
14,2021-06-01,2021-05-28,PRI,"Primerica, Inc.",Schneider Peter W.,Pres,S - Sale,160.83,-3000.0,30202.0,-9.0,-482490.0,0,0,0.0,0.0,0.0,0.0
15,2021-06-01,2021-05-27,RNG,"Ringcentral, Inc.",Marlow John H,"SVP, CAO, GC",S - Sale,259.22,-3434.0,193947.0,-2.0,-890173.0,0,0,0.0,0.0,0.0,0.0
16,2021-06-01,2021-05-27,RNG,"Ringcentral, Inc.",Theis Robert I,Dir,S - Sale,260.66,-2000.0,19978.0,-9.0,-521320.0,0,0,0.0,0.0,0.0,0.0
17,2021-06-01,2021-05-28,AMC,"Amc Entertainment Holdings, Inc.",Colanero Stephen A,"EVP, CMO",S - Sale,27.42,-15000.0,93879.0,-14.0,-411306.0,0,0,0.0,0.0,0.0,0.0
18,2021-06-01,2021-05-28,MDT,Medtronic Plc,Liddicoat John R,"EVP, Pres of Americas",S - Sale+OE,126.65,-34656.0,42551.0,-45.0,-4389182.0,0,0,0.0,0.0,0.0,0.0
19,2021-06-01,2021-06-01,BL,"Blackline, Inc.",Tucker Therese,Exec Chair,S - Sale,102.25,-10000.0,4663183.0,0.0,-1022508.0,0,0,0.0,0.0,0.0,0.0
20,2021-06-01,2021-05-28,ID,"Parts Id, Inc.",Petkar Rahul,Dir,P - Purchase,6.07,1200.0,8342.0,17.0,7279.0,0,0,0.0,0.0,0.0,0.0
21,2021-06-01,2021-05-27,ATEX,Anterix Inc.,Schwartz Robert Harris,"Pres, CEO",S - Sale,48.32,-3409.0,81383.0,-4.0,-164723.0,0,0,0.0,0.0,0.0,0.0
22,2021-06-01,2021-04-29,DFCO,Dalrada Financial Corp,Bonar Brian,CEO,P - Purchase,0.42,10525.0,5827315.0,0.0,4419.0,0,0,0.0,0.0,0.0,0.0
23,2021-06-01,2021-05-28,IDXX,Idexx Laboratories Inc /de,Ayers Jonathan W,Dir,S - Sale+OE,562.26,-9460.0,654701.0,-1.0,-5318989.0,0,0,0.0,0.0,0.0,0.0
24,2021-06-01,2021-05-27,WWD,"Woodward, Inc.",Fawzy Christopher,"VP, GC, Corp Sec",S - Sale+OE,128.0,-9000.0,6436.0,-58.0,-1152000.0,0,0,0.0,0.0,0.0,0.0
25,2021-06-01,2021-05-28,IDXX,Idexx Laboratories Inc /de,Polewaczyk James F,EVP,S - Sale+OE,561.91,-10000.0,19915.0,-33.0,-5619057.0,0,0,0.0,0.0,0.0,0.0
26,2021-06-01,2021-06-01,PRI,"Primerica, Inc.",Rand Alison S.,"EVP, CFO",S - Sale,163.0,-2000.0,14847.0,-12.0,-326000.0,0,0,0.0,0.0,0.0,0.0
27,2021-06-01,2021-05-27,PRMW,Primo Water Corp /cn/,Fowden Jeremy S G,Dir,S - Sale+OE,17.61,-897.0,1359290.0,0.0,-15796.0,0,0,0.0,0.0,0.0,0.0
28,2021-06-01,2021-05-28,BLKB,Blackbaud Inc,McDearis Kevin,Chief Products Officer,S - Sale,71.06,-708.0,71510.0,-1.0,-50312.0,0,0,0.0,0.0,0.0,0.0
29,2021-06-01,2021-05-27,BXMT,"Blackstone Mortgage Trust, Inc.",Marone Anthony F. Jr,CFO,S - Sale,31.91,-398.0,39493.0,-1.0,-12700.0,0,0,0.0,0.0,0.0,0.0
30,2021-06-01,2021-05-28,LCI,Lannett Co Inc,Farber Jeffrey,"Dir, 10%",P - Purchase,4.37,10000.0,1678510.0,1.0,43700.0,0,0,0.0,0.0,0.0,0.0
31,2021-06-01,2021-06-01,KRTX,"Karuna Therapeutics, Inc.",Pande Atul,Dir,S - Sale+OE,111.44,-2500.0,0.0,-100.0,-278600.0,0,0,0.0,0.0,0.0,0.0
32,2021-06-01,2021-05-28,KFS,Kingsway Financial Services Inc,Hansen Kent A,"CFO, EVP",P - Purchase,4.93,304.0,57825.0,1.0,1498.0,0,0,0.0,0.0,0.0,0.0
33,2021-06-01,2021-06-01,OSH,"Oak Street Health, Inc.",General Atlantic LLC,"Dir, 10%",S - Sale,60.14,-7260689.0,61384475.0,-11.0,-436657836.0,0,0,0.0,0.0,0.0,0.0
34,2021-06-01,2021-05-27,ASMB,"Assembly Biosciences, Inc.",Delaney William E IV,Chief Scientific Officer,S - Sale,4.03,-4129.0,53121.0,-7.0,-16637.0,0,0,0.0,0.0,0.0,0.0
35,2021-06-01,2021-05-28,GSHD,"Goosehead Insurance, Inc.",Moxley Michael Patrick,VP of Service Delivery,S - Sale+OE,90.8,-2500.0,92008.0,-3.0,-227002.0,0,0,0.0,0.0,0.0,0.0
36,2021-06-01,2021-05-18,POLA,"Polar Power, Inc.",Albrecht Keith,Dir,S - Sale,10.15,-2320.0,21014.0,-10.0,-23548.0,0,0,0.0,0.0,0.0,0.0
37,2021-06-01,2021-05-28,GSHD,"Goosehead Insurance, Inc.",Burks Drew,CIO,S - Sale+OE,90.69,-1000.0,39.0,-96.0,-90690.0,0,0,0.0,0.0,0.0,0.0
38,2021-06-01,2021-05-28,UVSP,Univest Financial Corp,Moyer K Leon,Dir,S - Sale,28.99,-2500.0,73320.0,-3.0,-72475.0,0,0,0.0,0.0,0.0,0.0
39,2021-06-01,2021-05-14,CDLX,"Cardlytics, Inc.",Balen John V,Dir,P - Purchase,95.87,3000.0,27074.0,12.0,287600.0,0,0,0.0,0.0,0.0,0.0
40,2021-06-01,2021-05-27,CSTL,Castle Biosciences Inc,Maetzold Derek J,"Pres, Chief Exec. Officer",S - Sale,60.14,-13531.0,1030916.0,-1.0,-813818.0,0,0,0.0,0.0,0.0,0.0
41,2021-06-01,2021-05-28,TITN,Titan Machinery Inc.,Meyer David Joseph,"COB, CEO, 10%",S - Sale,31.67,-400000.0,1862864.0,-18.0,-12666000.0,0,0,0.0,0.0,0.0,0.0
42,2021-06-01,2021-05-27,CME,Cme Group Inc.,Winkler Julie,Sr MD Chief Commercial Officer,S - Sale,217.0,-3500.0,25400.0,-12.0,-759500.0,0,0,0.0,0.0,0.0,0.0
43,2021-06-01,2021-06-01,VRSK,"Verisk Analytics, Inc.",Shavel Lee,"Group Pres, CFO",S - Sale,173.14,-5800.0,33655.0,-15.0,-1004194.0,0,0,0.0,0.0,0.0,0.0
44,2021-06-01,2021-06-01,VRSK,"Verisk Analytics, Inc.",Wright David B,Dir,S - Sale,171.5,-3000.0,26298.0,-10.0,-514500.0,0,0,0.0,0.0,0.0,0.0
45,2021-06-01,2021-05-27,RES,Rpc Inc,Lor Inc,10%,S - Sale,5.0,-5000.0,107744309.0,0.0,-25022.0,0,0,0.0,0.0,0.0,0.0
46,2021-06-01,2021-05-27,RES,Rpc Inc,Rollins Gary W,"Dir, 10%",S - Sale,5.0,-5000.0,123531203.0,0.0,-25022.0,0,0,0.0,0.0,0.0,0.0
47,2021-06-01,2021-06-01,WOOF,"Petco Health & Wellness Company, Inc.","Scooby Aggregator, LP",10%,S - Sale,23.16,-22000000.0,149224140.0,-13.0,-509520000.0,0,0,0.0,0.0,0.0,0.0
48,2021-06-01,2019-07-18,CLXT,"Calyxt, Inc.",Kozicz-Stankiewicz Anna Ewa,Dir,S - Sale,10.0,-735.0,17865.0,-4.0,-7350.0,0,0,0.0,0.0,0.0,0.0
49,2021-06-01,2021-05-28,VYNT,"Vyant Bio, Inc.",Boehm Marcus,Dir,P - Purchase,3.68,5000.0,98929.0,5.0,18400.0,0,0,0.0,0.0,0.0,0.0
50,2021-06-01,2021-06-01,FDS,Factset Research Systems Inc,Snow Frederick Philip,CEO,S - Sale+OE,334.9,-2500.0,3897.0,-39.0,-837250.0,0,0,0.0,0.0,0.0,0.0
51,2021-06-01,2021-05-27,CARG,"Cargurus, Inc.",Steinert Langley,"Exec COB, 10%",S - Sale,28.23,-31098.0,1141088.0,-3.0,-877741.0,0,0,0.0,0.0,0.0,0.0
52,2021-06-01,2021-05-27,CARG,"Cargurus, Inc.",Parafestas Anastasios,Dir,S - Sale,28.16,-30000.0,4373673.0,-1.0,-844700.0,0,0,0.0,0.0,0.0,0.0
53,2021-06-01,2021-05-27,BXMT,"Blackstone Mortgage Trust, Inc.",Armer Douglas N.,EVP,S - Sale,31.86,-638.0,95011.0,-1.0,-20327.0,0,0,0.0,0.0,0.0,0.0
54,2021-06-01,2021-05-28,PGEN,"Precigen, Inc.",Ares Trading S.A.,10%,S - Sale,6.79,-72811.0,24917820.0,0.0,-494452.0,0,0,0.0,0.0,0.0,0.0
55,2021-06-01,2021-05-27,OOMA,Ooma Inc,Yeh Jenny C,"VP, GC, Sec.",S - Sale+OE,18.57,-5297.0,58349.0,-8.0,-98350.0,0,0,0.0,0.0,0.0,0.0
56,2021-06-01,2021-05-27,ANNX,"Annexon, Inc.",Lew Jennifer,"EVP, CFO",S - Sale+OE,22.24,-3500.0,2000.0,-64.0,-77835.0,0,0,0.0,0.0,0.0,0.0
57,2021-06-01,2021-05-27,BILL,"Bill.Com Holdings, Inc.",Cakebread Steven,Dir,S - Sale+OE,148.99,-5334.0,0.0,-100.0,-794694.0,0,0,0.0,0.0,0.0,0.0
58,2021-06-01,2021-06-01,INSE,"Inspired Entertainment, Inc.",Davis Evan Wainhouse,Former 10% Owner,S - Sale,9.25,-6217628.0,0.0,-100.0,-57513059.0,0,0,0.0,0.0,0.0,0.0
59,2021-06-01,2021-05-27,ANET,"Arista Networks, Inc.",Sadana Anshul,"SVP, COO",S - Sale+OE,340.21,-8357.0,2421.0,-78.0,-2843089.0,0,0,0.0,0.0,0.0,0.0
60,2021-06-01,2021-05-27,CLNE,Clean Energy Fuels Corp.,Total Marketing Services S.A.S.,10%,S - Sale,8.06,-532239.0,48330038.0,-1.0,-4289523.0,0,0,0.0,0.0,0.0,0.0
61,2021-06-01,2021-06-01,EA,Electronic Arts Inc.,Bruzzo Chris,EVP,S - Sale,143.34,-2500.0,27658.0,-8.0,-358355.0,0,0,0.0,0.0,0.0,0.0
62,2021-06-01,2021-06-01,EA,Electronic Arts Inc.,Miele Laura,Chief Studios Officer,S - Sale,142.92,-785.0,36032.0,-2.0,-112192.0,0,0,0.0,0.0,0.0,0.0
63,2021-06-01,2021-05-27,ZIP,"Ziprecruiter, Inc.",Edmonds Joseph,10%,S - Sale,21.11,-153015.0,11671229.0,-1.0,-3230196.0,0,0,0.0,0.0,0.0,0.0
64,2021-06-01,2021-05-27,ZIP,"Ziprecruiter, Inc.",Poulos Ward,10%,S - Sale,20.99,-297530.0,6719971.0,-4.0,-6243752.0,0,0,0.0,0.0,0.0,0.0
65,2021-06-01,2021-05-27,ZIP,"Ziprecruiter, Inc.",Willis Redd,10%,S - Sale,21.27,-381161.0,9305346.0,-4.0,-8107380.0,0,0,0.0,0.0,0.0,0.0
66,2021-06-01,2021-05-27,ATLC,Atlanticus Holdings Corp,Howard Jeffrey A.,"Pres, CEO",S - Sale,40.04,-3337.0,444913.0,-1.0,-133597.0,0,0,0.0,0.0,0.0,0.0
67,2021-06-01,2021-05-27,CRC,California Resources Corp,Ares Management LLC,10%,S - Sale,30.06,-239000.0,17085848.0,-1.0,-7183260.0,0,0,0.0,0.0,0.0,0.0
68,2021-06-01,2021-05-27,BLI,"Berkeley Lights, Inc.",Breinlinger Keith,Chief Technical Officer,S - Sale+OE,45.13,-8500.0,32881.0,-21.0,-383594.0,0,0,0.0,0.0,0.0,0.0
69,2021-06-01,2021-05-28,BILL,"Bill.Com Holdings, Inc.",Aji Rajesh A.,"GC, CCO",S - Sale+OE,150.21,-1845.0,4357.0,-30.0,-277139.0,0,0,0.0,0.0,0.0,0.0
70,2021-06-01,2021-05-28,DXCM,Dexcom Inc,Blackford Quentin S.,COO,S - Sale,375.0,-7223.0,37942.0,-16.0,-2708625.0,0,0,0.0,0.0,0.0,0.0
71,2021-06-01,2021-06-01,TTMI,Ttm Technologies Inc,Hardwick William Kent,"SVP Global Sales, EMS",S - Sale,15.19,-1500.0,77041.0,-2.0,-22785.0,0,0,0.0,0.0,0.0,0.0
72,2021-06-01,2021-05-27,STKS,"One Group Hospitality, Inc.",Segal Jonathan,"Dir, Business Development, 10%",S - Sale+OE,10.59,-36499.0,4263989.0,-1.0,-386495.0,0,0,0.0,0.0,0.0,0.0
73,2021-06-01,2021-05-26,SWAV,"Shockwave Medical, Inc.",Papiernik Antoine,Dir,S - Sale,171.35,-110000.0,124952.0,-47.0,-18848591.0,0,0,0.0,0.0,0.0,0.0
74,2021-06-01,2021-05-28,CPRI,Capri Holdings Ltd,Purefoy Daniel,"SVP, Global Ops",S - Sale+OE,56.97,-3520.0,14448.0,-20.0,-200534.0,0,0,0.0,0.0,0.0,0.0
75,2021-06-01,2021-05-27,META,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,330.5,-77300.0,2200432.0,-3.0,-25547589.0,0,0,0.0,0.0,0.0,0.0
76,2021-06-01,2021-05-27,EXPO,Exponent Inc,James Bradley A,Group VP,S - Sale,91.29,-3120.0,4222.0,-42.0,-284834.0,0,0,0.0,0.0,0.0,0.0
77,2021-06-01,2021-05-27,ABNB,"Airbnb, Inc.",Blecharczyk Nathan,"Chief Strategy Officer, 10%",S - Sale,140.0,-486111.0,550231.0,-47.0,-68055540.0,0,0,0.0,0.0,0.0,0.0
78,2021-06-01,2021-05-27,OTRK,"Ontrak, Inc.",Peizer Terren S,"Exec COB, 10%",S - Sale,30.26,-33000.0,9545512.0,0.0,-998656.0,0,0,0.0,0.0,0.0,0.0
79,2021-06-01,2021-05-28,META,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,330.56,-74969.0,2185932.0,-3.0,-24781662.0,0,0,0.0,0.0,0.0,0.0
80,2021-06-01,2021-06-01,DAWN,"Day One Biopharmaceuticals, Inc.",Becker Daniel J.,Dir,P - Purchase,16.0,5000.0,5000.0,0.0,80000.0,0,0,0.0,0.0,0.0,0.0
81,2021-06-01,2021-06-01,DAWN,"Day One Biopharmaceuticals, Inc.",Josey John A.,Dir,P - Purchase,16.0,7000.0,72292.0,11.0,112000.0,0,0,0.0,0.0,0.0,0.0
82,2021-06-01,2021-05-27,CRC,California Resources Corp,Ares Management LLC,10%,S - Sale,30.06,-239000.0,17085848.0,-1.0,-7183260.0,0,0,0.0,0.0,0.0,0.0
83,2021-06-01,2021-05-27,PINS,"Pinterest, Inc.",Yang Tseli Lily,Chief Accounting Officer,S - Sale+OE,63.0,-2560.0,64104.0,-4.0,-161280.0,0,0,0.0,0.0,0.0,0.0
84,2021-06-01,2021-05-28,CVNA,Carvana Co.,Garcia Ernest C. II,10%,S - Sale+OE,266.36,-50000.0,74749802.0,0.0,-13317960.0,0,0,0.0,0.0,0.0,0.0
85,2021-06-01,2021-05-27,PCT,"Purecycle Technologies, Inc.",Dee Michael E,CFO,P - Purchase,17.18,7571.0,7571.0,0.0,130046.0,0,0,0.0,0.0,0.0,0.0
86,2021-06-01,2021-05-28,ROST,"Ross Stores, Inc.",Balmuth Michael,Strategic Advisor,S - Sale,126.04,-49377.0,768.0,-98.0,-6223222.0,0,0,0.0,0.0,0.0,0.0
87,2021-06-01,2021-05-27,A,"Agilent Technologies, Inc.",Tang Michael,"SVP, GC,, Sec.",S - Sale,136.15,-13465.0,39579.0,-25.0,-1833351.0,0,0,0.0,0.0,0.0,0.0
88,2021-06-01,2021-05-28,A,"Agilent Technologies, Inc.",McDonnell Padraig,SVP,S - Sale,138.42,-1000.0,16916.0,-6.0,-138420.0,0,0,0.0,0.0,0.0,0.0
89,2021-06-01,2021-05-28,YEXT,"Yext, Inc.",Distelburger Brian,"Pres, COO",S - Sale,15.01,-4600.0,3122321.0,0.0,-69024.0,0,0,0.0,0.0,0.0,0.0
90,2021-06-01,2021-06-01,GOOG,Alphabet Inc.,Mather Ann,Dir,S - Sale,2422.0,-25.0,1746.0,-1.0,-60550.0,0,0,0.0,0.0,0.0,0.0
91,2021-06-01,2021-05-28,STIM,"Neuronetics, Inc.",Conley Sheryl L,Dir,S - Sale,13.78,-6800.0,45872.0,-13.0,-93684.0,0,0,0.0,0.0,0.0,0.0
92,2021-06-01,2021-05-27,STIM,"Neuronetics, Inc.",Shook Bruce Joseph,Dir,S - Sale,13.35,-15200.0,29937.0,-34.0,-202868.0,0,0,0.0,0.0,0.0,0.0
93,2021-06-01,2021-05-27,UONE,"Urban One, Inc.",Semler Eric,10%,P - Purchase,4.29,1006838.0,4103515.0,33.0,4316133.0,0,0,0.0,0.0,0.0,0.0
94,2021-06-01,2021-06-01,FRG,"Franchise Group, Inc.",Laurence Andrew M,EVP,P - Purchase,36.0,50000.0,400750.0,14.0,1800000.0,0,0,0.0,0.0,0.0,0.0
95,2021-06-01,2021-05-27,LJPC,La Jolla Pharmaceutical Co,Tang Kevin C,"Dir, 10%",P - Purchase,4.47,245020.0,10049224.0,2.0,1095693.0,0,0,0.0,0.0,0.0,0.0
96,2021-06-01,2021-06-01,GOOG,Alphabet Inc.,Schindler Philipp,"SVP, Chief Business Officer",S - Sale,2422.0,-1385.0,69058.0,-2.0,-3354470.0,0,0,0.0,0.0,0.0,0.0
97,2021-06-01,2021-05-27,JYNT,Joint Corp,Krevlin Glenn J,Dir,S - Sale,70.19,-20000.0,23829.0,-46.0,-1403866.0,0,0,0.0,0.0,0.0,0.0
98,2021-06-01,2021-05-27,INT,World Fuel Services Corp,Kasbar Michael J,"COB, CEO, Pres",P - Purchase,31.4,10000.0,879867.0,1.0,314000.0,0,0,0.0,0.0,0.0,0.0
99,2021-06-01,2021-05-28,INT,World Fuel Services Corp,Birns IRA M,"EVP, CFO",P - Purchase,31.59,2000.0,130423.0,2.0,63180.0,0,0,0.0,0.0,0.0,0.0
100,2021-06-01,2021-05-27,TSLA,"Tesla, Inc.",Baglino Andrew D,"SVP Powertrain, Energy Eng.",S - Sale+OE,620.17,-1500.0,18114.0,-8.0,-930255.0,0,0,0.0,0.0,0.0,0.0
101,2021-06-01,2021-05-28,MYGN,Myriad Genetics Inc,Spiegelman Daniel K,Dir,S - Sale,28.99,-7142.0,13420.0,-35.0,-207023.0,0,0,0.0,0.0,0.0,0.0
102,2021-06-01,2021-05-27,STAA,Staar Surgical Co,"Broadwood Partners, L.P.",10%,S - Sale,146.71,-266278.0,18145714.0,-1.0,-39065521.0,0,0,0.0,0.0,0.0,0.0
103,2021-06-01,2021-05-28,ITRI,"Itron, Inc.",Hlavinka Sarah E.,"SVP. Gen. Counsel, Corp. Sec",S - Sale+OE,96.16,-2304.0,19027.0,-11.0,-221553.0,0,0,0.0,0.0,0.0,0.0
104,2021-06-01,2021-05-28,TNDM,Tandem Diabetes Care Inc,Berger David B,"EVP, Chief Business, Complianc",S - Sale+OE,86.47,-3619.0,4284.0,-46.0,-312933.0,0,0,0.0,0.0,0.0,0.0
105,2021-06-01,2021-05-27,VLDR,"Velodyne Lidar, Inc.",Culkin Joseph B.,Dir,S - Sale,10.08,-1432359.0,10489094.0,-12.0,-14438639.0,0,0,0.0,0.0,0.0,0.0
106,2021-06-01,2021-05-28,FFBC,First Financial Bancorp /oh/,Davis Claude E,Chairman of the Board,S - Sale,25.6,-33083.0,188524.0,-15.0,-846784.0,0,0,0.0,0.0,0.0,0.0
107,2021-06-01,2021-05-27,CVNA,Carvana Co.,Garcia Ernest C. II,10%,S - Sale+OE,264.63,-45785.0,74804017.0,0.0,-12115846.0,0,0,0.0,0.0,0.0,0.0
108,2021-06-01,2021-05-27,CVNA,Carvana Co.,Garcia Ernest C. II,10%,S - Sale+OE,268.83,-4215.0,74799802.0,0.0,-1133128.0,0,0,0.0,0.0,0.0,0.0
109,2021-06-01,2021-05-28,IDXX,Idexx Laboratories Inc /de,Turner Kathy V,SVP,S - Sale,558.44,-2000.0,2986.0,-40.0,-1116884.0,0,0,0.0,0.0,0.0,0.0
110,2021-06-01,2021-06-01,ZOM,Zomedica Corp.,Cohen Robert,CEO,S - Sale+OE,0.81,-3193750.0,0.0,-100.0,-2595880.0,0,0,0.0,0.0,0.0,0.0
111,2021-06-01,2021-05-28,LEVI,Levi Strauss & Co,Haas Robert D.,10%,S - Sale+OE,26.84,-118305.0,0.0,-100.0,-3174852.0,0,0,0.0,0.0,0.0,0.0
112,2021-06-01,2021-05-28,SEM,Select Medical Holdings Corp,Jackson Martin F,EVP,S - Sale,40.07,-50000.0,1145964.0,-4.0,-2003500.0,0,0,0.0,0.0,0.0,0.0
113,2021-06-01,2021-05-26,EDUC,Educational Development Corp,Peters Joshua J,Dir,P - Purchase,14.13,2400.0,46992.0,5.0,33919.0,0,0,0.0,0.0,0.0,0.0
114,2021-06-01,2021-05-26,EDUC,Educational Development Corp,McDaniel Ronald T,Dir,S - Sale,14.53,-500.0,2150.0,-19.0,-7265.0,0,0,0.0,0.0,0.0,0.0
115,2021-06-01,2021-05-27,INTU,Intuit Inc,Smith Brad D,Exec COB,S - Sale+OE,431.5,-163061.0,354507.0,-32.0,-70360199.0,0,0,0.0,0.0,0.0,0.0
116,2021-06-01,2021-05-27,MORN,"Morningstar, Inc.",Mansueto Joseph D,"Exec COB, 10%",S - Sale,234.57,-23069.0,18767784.0,0.0,-5411304.0,0,0,0.0,0.0,0.0,0.0
117,2021-06-01,2021-05-28,NTGR,"Netgear, Inc.",Kim Andrew Wonki,"SVP, Legal, Corp Dev",S - Sale+OE,39.59,-517.0,64189.0,-1.0,-20468.0,0,0,0.0,0.0,0.0,0.0
118,2021-06-01,2021-05-27,CIEN,Ciena Corp,Smith Gary B,"Pres, CEO",S - Sale,53.01,-7500.0,411616.0,-2.0,-397581.0,0,0,0.0,0.0,0.0,0.0
119,2021-06-01,2021-05-27,LEVI,Levi Strauss & Co,Haas Bradley J.,10%,S - Sale+OE,26.76,-82464.0,0.0,-100.0,-2206718.0,0,0,0.0,0.0,0.0,0.0
120,2021-06-01,2021-05-28,KE,"Kimball Electronics, Inc.",Kahle John H,VP,S - Sale,22.15,-3500.0,182695.0,-2.0,-77532.0,0,0,0.0,0.0,0.0,0.0
121,2021-06-01,2021-05-10,OPK,"Opko Health, Inc.",Cohen Jon R,SVP OPKO; Exec COB BRLI,P - Purchase,3.81,50000.0,125000.0,67.0,190500.0,0,0,0.0,0.0,0.0,0.0
122,2021-06-01,2021-05-28,SKX,Skechers USA Inc,Greenberg Jeffrey,Dir,S - Sale,47.53,-5000.0,1237641.0,0.0,-237633.0,0,0,0.0,0.0,0.0,0.0
123,2021-06-01,2021-05-27,UUUU,Energy Fuels Inc,Higgs Dennis Lyle,Dir,S - Sale,8.26,-21575.0,321638.0,-6.0,-178111.0,0,0,0.0,0.0,0.0,0.0
124,2021-06-01,2021-05-28,HSY,Hershey Co,Buck Michele,"COB, Pres, CEO",S - Sale,173.52,-2500.0,182997.0,-1.0,-433800.0,0,0,0.0,0.0,0.0,0.0
125,2021-06-01,2021-05-28,WMPN,William Penn Bancorporation,Stephon Kenneth John,"Pres, CEO",P - Purchase,11.25,3011.0,50087.0,6.0,33881.0,0,0,0.0,0.0,0.0,0.0
126,2021-06-01,2021-05-27,OPOF,Old Point Financial Corp,Witt Joseph R,"Pres, Financial Svcs, CSO",P - Purchase,23.26,40.0,14943.0,0.0,931.0,0,0,0.0,0.0,0.0,0.0
127,2021-06-01,2021-05-27,TCBI,Texas Capital Bancshares Inc/tx,Baliff Jonathan,Dir,S - Sale,69.16,-976.0,5257.0,-16.0,-67499.0,0,0,0.0,0.0,0.0,0.0
128,2021-06-01,2021-05-28,CPF,Central Pacific Financial Corp,Camp Christine H H,Dir,P - Purchase,27.59,1400.0,128803.0,1.0,38631.0,0,0,0.0,0.0,0.0,0.0
129,2021-06-01,2021-05-28,CPF,Central Pacific Financial Corp,Kamitaki Wayne K,Dir,P - Purchase,27.59,1800.0,14589.0,14.0,49669.0,0,0,0.0,0.0,0.0,0.0
130,2021-06-01,2021-06-01,OPOF,Old Point Financial Corp,Keefe William F,Dir,P - Purchase,23.0,200.0,7900.0,3.0,4600.0,0,0,0.0,0.0,0.0,0.0
131,2021-06-01,2021-05-28,CPF,Central Pacific Financial Corp,Ota Saedene K,Dir,P - Purchase,27.59,1800.0,19259.0,10.0,49669.0,0,0,0.0,0.0,0.0,0.0
132,2021-06-01,2021-05-27,ACGL,Arch Capital Group Ltd.,Hutchings W Preston,"SVP, Chief Investment Officer",S - Sale,39.51,-37500.0,472250.0,-7.0,-1481715.0,0,0,0.0,0.0,0.0,0.0
133,2021-06-01,2021-05-27,BWEN,"Broadwind, Inc.",Wagner Thomas A.,Dir,S - Sale,4.47,-20000.0,70685.0,-22.0,-89356.0,0,0,0.0,0.0,0.0,0.0
